name	geonames_id	y	x
Kurland	460496	57.0	22.0
Oesel	588878	58.41333	22.49639
OEsel	588878	58.41333	22.49639
Livland	453747	57.16041	24.26473
Werro	587450	57.83389	27.01944
Riga	456168	56.92361	23.97111
Kurland	460496	57.0	22.0
Reval	588406	59.46663	24.76702
Livland	453747	57.16041	24.26473
Estland	453733	59.0	26.0
Riga	456168	56.92361	23.97111
Praga	589350	58.43389	27.23583
Libau	454432	56.50806	21.01149
Alt-Schwaneburg	459668	57.17767	26.75291
Rusi	455944	57.10208	23.00352
Insel Worms	587455	59.00528	23.24639
Libau	454432	56.50806	21.01149
Mitau	459279	56.65	23.71278
Reval	588406	59.46663	24.76702
Vardi	587758	59.03722	24.45361
Riga	456168	56.92361	23.97111
Rujen	456008	57.89752	25.33155
Memele	454425	56.27686	25.03215
Berzins	461177	56.96948	21.63912
Libau	454432	56.50806	21.01149
Livland	453747	57.16041	24.26473
Riga	456168	56.92361	23.97111
Saara	588899	59.14694	26.59917
Libau	454432	56.50806	21.01149
Stati	453943	56.94166	24.05187
Dorpat	588335	58.38062	26.72509
Livland	453747	57.16041	24.26473
Goldingen	458460	56.97399	21.95721
Libau	454432	56.50806	21.01149
Mitau	459279	56.65	23.71278
Riga	456168	56.92361	23.97111
Dorpat	588335	58.38062	26.72509
Talsen	454970	57.24562	22.58137
Frauenburg	455890	56.66363	22.48807
Hasenpoth	461602	56.72108	21.60156
Kurland	460496	57.0	22.0
Friedrichstadt	459402	56.61319	25.08316
Wolmar	453754	57.54108	25.42751
Jakobstadt	459282	56.33333	25.83333
Hapsal	592224	58.97944	23.58278
Windau	454308	57.40188	21.53778
Grobin	459692	56.53521	21.16782
Libau	454432	56.50806	21.01149
Sita	455598	57.17413	27.10809
Mitau	459279	56.65	23.71278
Reval	588406	59.46663	24.76702
Ede	460073	56.87828	22.06778
Dorpat	588335	58.38062	26.72509
Estland	453733	59.0	26.0
Riga	456168	56.92361	23.97111
